species_name,lon,lat,countryCode,year,basisOfRecord,coord_uncert_m
"Danio aesculapii Kullander & Fang, 2009",93.451667,20.134861,MM,2007,PRESERVED_SPECIMEN,NA
"Danio aesculapii Kullander & Fang, 2009",94.500833,18.265833,MM,NA,PRESERVED_SPECIMEN,NA
"Danio aesculapii Kullander & Fang, 2009",94.348611,18.452222,MM,NA,PRESERVED_SPECIMEN,NA
"Danio aesculapii Kullander & Fang, 2009",94.379167,18.594167,MM,NA,PRESERVED_SPECIMEN,NA
"Danio aesculapii Kullander & Fang, 2009",94.362778,18.796667,MM,NA,PRESERVED_SPECIMEN,NA
"Danio aesculapii Kullander & Fang, 2009",94.348611,18.452222,MM,NA,PRESERVED_SPECIMEN,NA
"Danio aesculapii Kullander & Fang, 2009",94.500833,18.265833,MM,NA,PRESERVED_SPECIMEN,NA
"Danio aesculapii Kullander & Fang, 2009",94.348611,18.452222,MM,NA,PRESERVED_SPECIMEN,NA
"Danio aesculapii Kullander & Fang, 2009",94.379167,18.594167,MM,NA,PRESERVED_SPECIMEN,NA
"Danio aesculapii Kullander & Fang, 2009",94.348611,18.452222,MM,NA,PRESERVED_SPECIMEN,NA
"Danio aesculapii Kullander & Fang, 2009",94.379167,18.594167,MM,NA,PRESERVED_SPECIMEN,NA
"Danio aesculapii Kullander & Fang, 2009",94.464167,18.310833,MM,NA,PRESERVED_SPECIMEN,NA
"Danio aesculapii Kullander & Fang, 2009",94.464167,18.310833,MM,NA,PRESERVED_SPECIMEN,NA
"Danio aesculapii Kullander & Fang, 2009",94.3792,18.5942,MM,NA,PRESERVED_SPECIMEN,NA
"Danio albolineatus (Blyth, 1860)",103.825478,1.36077,SG,2025,HUMAN_OBSERVATION,NA
"Danio albolineatus (Blyth, 1860)",101.440354,12.995151,TH,2025,HUMAN_OBSERVATION,973
"Danio albolineatus (Blyth, 1860)",99.556105,11.576912,TH,2025,HUMAN_OBSERVATION,31
"Danio albolineatus (Blyth, 1860)",101.441608,12.994653,TH,2025,HUMAN_OBSERVATION,NA
"Danio albolineatus (Blyth, 1860)",101.439266,12.994649,TH,2025,HUMAN_OBSERVATION,208
"Danio albolineatus (Blyth, 1860)",101.439266,12.994649,TH,2025,HUMAN_OBSERVATION,208
"Danio albolineatus (Blyth, 1860)",100.509961,7.007552,TH,2025,HUMAN_OBSERVATION,291
"Danio albolineatus (Blyth, 1860)",100.58885,7.033938,TH,2025,HUMAN_OBSERVATION,307
"Danio albolineatus (Blyth, 1860)",100.510155,7.006556,TH,2025,HUMAN_OBSERVATION,7
"Danio albolineatus (Blyth, 1860)",101.64537,3.15601,MY,2025,HUMAN_OBSERVATION,223
"Danio albolineatus (Blyth, 1860)",104.084346,10.317218,VN,2025,HUMAN_OBSERVATION,31199
"Danio albolineatus (Blyth, 1860)",96.170364,21.876795,MM,2025,HUMAN_OBSERVATION,4841
"Danio albolineatus (Blyth, 1860)",103.776924,1.408013,SG,2025,HUMAN_OBSERVATION,55
"Danio albolineatus (Blyth, 1860)",103.778453,1.404577,SG,2025,HUMAN_OBSERVATION,NA
"Danio albolineatus (Blyth, 1860)",101.917351,5.754452,MY,2025,HUMAN_OBSERVATION,31373
"Danio albolineatus (Blyth, 1860)",101.373839,14.221235,TH,2025,HUMAN_OBSERVATION,23518
"Danio albolineatus (Blyth, 1860)",101.684059,12.978236,TH,2025,HUMAN_OBSERVATION,24705
"Danio albolineatus (Blyth, 1860)",101.684059,12.978236,TH,2025,HUMAN_OBSERVATION,24705
"Danio albolineatus (Blyth, 1860)",103.778336,1.409027,SG,2024,HUMAN_OBSERVATION,15
"Danio albolineatus (Blyth, 1860)",100.510268,7.007029,TH,2024,HUMAN_OBSERVATION,163
"Danio albolineatus (Blyth, 1860)",100.509667,7.006747,TH,2024,HUMAN_OBSERVATION,99
"Danio albolineatus (Blyth, 1860)",103.931266,1.471245,MY,2024,HUMAN_OBSERVATION,31446
"Danio albolineatus (Blyth, 1860)",103.777869,1.400588,SG,2024,HUMAN_OBSERVATION,154
"Danio albolineatus (Blyth, 1860)",104.015946,13.451693,KH,2024,HUMAN_OBSERVATION,31020
"Danio albolineatus (Blyth, 1860)",101.647014,3.157669,MY,2024,HUMAN_OBSERVATION,75
"Danio albolineatus (Blyth, 1860)",101.369726,3.901045,MY,2024,HUMAN_OBSERVATION,11847
"Danio albolineatus (Blyth, 1860)",101.172753,14.492558,TH,2024,HUMAN_OBSERVATION,13
"Danio albolineatus (Blyth, 1860)",101.632408,3.2273,MY,2023,HUMAN_OBSERVATION,4
"Danio albolineatus (Blyth, 1860)",104.030061,10.24425,VN,2023,HUMAN_OBSERVATION,7
"Danio albolineatus (Blyth, 1860)",103.810303,1.215514,SG,2023,HUMAN_OBSERVATION,31447
"Danio albolineatus (Blyth, 1860)",100.510479,7.007394,TH,2023,HUMAN_OBSERVATION,182
"Danio albolineatus (Blyth, 1860)",101.662854,3.096595,MY,2023,HUMAN_OBSERVATION,212
"Danio albolineatus (Blyth, 1860)",96.047867,17.103467,MM,2023,HUMAN_OBSERVATION,3
"Danio albolineatus (Blyth, 1860)",96.04336,17.100546,MM,2023,HUMAN_OBSERVATION,5
"Danio albolineatus (Blyth, 1860)",103.827506,1.339244,SG,2022,HUMAN_OBSERVATION,15
"Danio albolineatus (Blyth, 1860)",100.510154,7.008092,TH,2022,HUMAN_OBSERVATION,166
"Danio albolineatus (Blyth, 1860)",101.499345,3.172417,MY,2022,HUMAN_OBSERVATION,6
"Danio albolineatus (Blyth, 1860)",103.823047,1.35725,SG,2022,HUMAN_OBSERVATION,NA
"Danio albolineatus (Blyth, 1860)",98.5993,14.63055,TH,2021,PRESERVED_SPECIMEN,NA
"Danio albolineatus (Blyth, 1860)",98.60352,14.62702,TH,2021,PRESERVED_SPECIMEN,NA
"Danio albolineatus (Blyth, 1860)",98.61986,14.55692,TH,2021,PRESERVED_SPECIMEN,NA
