species_name,n_records_clean
"Danio albolineatus (Blyth, 1860)",338
"Danio rerio (Hamilton, 1822)",202
"Danio roseus Fang & Kottelat, 2000",151
"Danio nigrofasciatus (Day, 1870)",57
BOLD:AAE3739,36
BOLD:AAG0790,28
"Brachydanio albolineatus (Blyth, 1860)",24
"Danio kerri Smith, 1931",21
"Danio dangila (Hamilton, 1822)",19
"Danio pulcher Smith, 1931",16
"Danio assamila Kullander, 2015",15
"Danio aesculapii Kullander & Fang, 2009",14
"Danio tweediei Brittan, 1956",14
"Danio choprae Hora, 1928",12
"Danio kyathit Fang, 1998",11
BOLD:AAU2161,10
"Brachydanio rerio (Hamilton, 1822)",9
BOLD:ACS6641,8
"Danio erythromicron (Annandale, 1918)",8
"Danio annulosus Kullander, Rahman, Norén & Mollah, 2015",7
"Danio catenatus Kullander, 2015",7
"Danio feegradei Hora, 1937",7
"Danio margaritatus (Roberts, 2007)",7
BOLD:AAU1054,6
"Danio flagrans Kullander, 2012",6
"Microrasbora erythromicron Annandale, 1918",6
"Danio sysphigmatus Kullander, 2015",5
BOLD:ADK7514,3
"Danio htamanthinus Kullander & Norén, 2016",3
"Danio tinwini Kullander & Fang, 2009",3
BOLD:AAJ4330,2
BOLD:AAU2434,2
BOLD:ADL5311,2
"Brachydanio nigrofasciatus (Day, 1870)",2
"Danio choprai Hora, 1928",2
BOLD:ADL5541,1
BOLD:ADL9464,1
"Celestichthys margaritatus Roberts, 2007",1
"Danio frankei (Meinken, 1963)",1
